id,text,label
1,这个手机壳质量非常好，手感也很舒服，值得购买。,正面
2,快递太慢了，等了整整一个星期才到，而且包装破损。,负面
3,产品还行吧，没有特别惊喜也没什么问题。,中性
4,客服态度特别好，退换货流程也很顺畅，必须好评！,正面
5,买回来就坏了，充电器完全不能用，差评！,负面
6,颜色和图片上差不多，大小也合适。,中性
7,超出预期！续航居然能到两天，太惊喜了。,正面
8,食堂的饭菜越来越贵了，分量还少了，太不划算了。,负面
9,新开的咖啡店装修风格还可以，咖啡中规中矩。,中性
10,这本书写得非常深刻，对我的研究很有启发。,正面
11,预约了两次维修都没人来，服务态度极差。,负面
12,价格比实体店便宜一点，质量看起来差不多。,中性
13,老师讲课非常清晰，课程设计也很用心，强烈推荐！,正面
14,说好的赠品一个都没有，感觉被骗了。,负面
15,包装很普通，没有什么特别的地方。,中性
16,社区新建的健身房设施很齐全，终于不用跑远了。,正面
17,物业费涨了但服务完全没变，小区环境越来越差。,负面
18,搬过来半年了，整体感觉一般，不好不坏。,中性
19,孩子很喜欢这套绘本，每天晚上都要讲。画风温馨可爱。,正面
20,洗衣机用了不到三个月就漏水了，售后推来推去不解决。,负面
21,新装修的图书馆环境改善了不少，座位也多了。,正面
22,培训课程内容太浅了，基本都是网上能搜到的东西。,负面
23,这个小区交通还算方便，离地铁站步行十分钟。,中性
24,医院的网上预约系统非常方便，再也不用一大早去排队了。,正面
25,楼上装修噪音太大了，投诉了好几次都没用。,负面
26,手机信号在地下室偶尔会弱一点，其他时候正常。,中性
27,志愿者们非常热心，帮老人代买药品送到家门口，真的很感动。,正面
28,银行排队等了两小时，就办了个五分钟的业务，效率太低了。,负面
29,公园的樱花开了，景色很美。就是周末人太多。,中性
30,这家餐厅的菜品很有特色，尤其是红烧肉做得入味。环境也干净。,正面
31,快递放在驿站不通知，自己去找才发现已经被退回了。,负面
32,天气预报说明天多云，温度和今天差不多。,中性
33,社区组织的亲子活动特别有意义，孩子们玩得很开心。,正面
34,小区的电梯又坏了，住在高层的老人上下楼太不方便。,负面
35,这款牙膏泡沫适中，薄荷味不算太浓。,中性
36,护士很耐心，检查过程中一直在安慰我，很暖心。,正面
37,菜市场的菜不新鲜还卖那么贵，太坑人了。,负面
38,新出的手机壳就那几种颜色，选择不太多。,中性
39,儿童乐园扩建后好玩多了，设施也更安全。,正面
40,网购的衣服色差严重，跟图片完全不一样。退货还要自己出运费。,负面
41,考试难度和去年基本持平，题型没有大的变化。,中性
42,这位老师的教学方法很创新，学生参与度明显提高了。,正面
43,停车位太少了，每天回来都要转好几圈才能找到地方停。,负面
44,报告的内容覆盖面比较广，数据来源也有标注。,中性
45,社区养老服务中心的工作人员特别细心，老人们都很满意。,正面
46,维修工人迟到了一个多小时，修完还多收了配件费。,负面
47,这个APP界面设计中规中矩，功能基本够用。,中性
48,免费体检活动很贴心，检查项目也比较全面。,正面
49,投诉电话永远打不通，在线客服就是个机器人，根本解决不了问题。,负面
50,新学期课表排得比较紧凑，周三下午没课。,中性
