id,text,coder_A,coder_B,coder_C
1,国务院决定自2024年起全面推行企业注册登记电子化。,简政放权,简政放权,简政放权
2,对违反数据安全法规的企业可处以营业额百分之五的罚款。,惩罚措施,惩罚措施,惩罚措施
3,鼓励社会资本参与养老服务设施建设并给予税收优惠。,财政激励,财政激励,财政激励
4,各级政府应建立健全突发公共卫生事件应急预案。,制度建设,制度建设,简政放权
5,严禁非法采集和买卖公民个人生物识别信息。,惩罚措施,制度建设,惩罚措施
6,中央财政安排专项资金支持中西部基础教育发展。,财政激励,财政激励,财政激励
7,推动建立全国统一的碳排放权交易市场。,市场机制,市场机制,制度建设
8,要求上市公司自2025年起披露ESG信息。,信息公开,信息公开,信息公开
9,对在乡村振兴中做出突出贡献的企业给予奖励。,财政激励,财政激励,市场机制
10,取消不合理的行政审批事项减轻企业负担。,简政放权,简政放权,简政放权
11,对生产销售假冒伪劣食品的企业吊销营业执照。,惩罚措施,惩罚措施,惩罚措施
12,在自贸区试点推行负面清单管理模式。,市场机制,简政放权,市场机制
13,加大对科技创新型中小企业的融资支持力度。,财政激励,财政激励,财政激励
14,建立健全网络安全事件报告和应急处置制度。,制度建设,制度建设,制度建设
15,推进政务服务"一网通办"提升办事效率。,简政放权,简政放权,简政放权
16,对排放超标企业实施限产停产措施。,惩罚措施,惩罚措施,市场机制
17,设立国家绿色发展基金引导社会资本投入。,财政激励,市场机制,财政激励
18,完善食品药品安全追溯体系建设。,制度建设,制度建设,制度建设
19,鼓励地方政府在特定区域先行先试改革措施。,市场机制,简政放权,简政放权
20,定期向社会公布环境质量监测数据。,信息公开,信息公开,信息公开
