id,text,label
1,国务院决定自2024年起全面推行企业注册登记电子化，简化审批流程。,简政放权
2,对违反数据安全法规的企业，最高可处以上一年度营业额百分之五的罚款。,惩罚措施
3,鼓励社会资本参与养老服务设施建设，对符合条件的项目给予税收优惠。,财政激励
4,各级政府应当建立健全突发公共卫生事件应急预案，定期组织演练。,制度建设
5,严禁任何单位和个人非法采集、买卖公民个人生物识别信息。,惩罚措施
6,中央财政安排专项资金支持中西部地区基础教育均衡发展。,财政激励
7,推动建立全国统一的碳排放权交易市场，完善碳定价机制。,市场机制
8,要求所有上市公司自2025年起披露环境、社会和治理（ESG）信息。,信息公开
9,对在乡村振兴中做出突出贡献的企业和个人，给予表彰和奖励。,财政激励
10,取消外商投资企业设立审批，改为信息报告制度。,简政放权
11,违反环境保护法排放污染物的，责令停产整治并处以罚款。,惩罚措施
12,支持有条件的城市开展智慧交通试点，推广新能源公共交通。,试点推广
13,建立健全社会信用体系，对严重失信主体实施联合惩戒。,惩罚措施
14,对吸纳脱贫人口就业的企业，按每人每年7800元标准给予定额税收扣减。,财政激励
15,推进政务服务标准化规范化便利化，实现高频事项"一网通办"。,简政放权
16,加强对网络直播带货的监管，规范主播行为和商品质量标准。,市场监管
17,设立国家科技创新基金，重点支持人工智能、量子计算等前沿领域研究。,财政激励
18,完善粮食最低收购价政策，保障种粮农民基本收益。,市场机制
19,对未落实安全生产主体责任导致重大事故的企业负责人，依法追究刑事责任。,惩罚措施
20,推动建立长期护理保险制度，探索多元化筹资机制。,制度建设
21,取消和下放一批行政审批事项，降低市场主体制度性交易成本。,简政放权
22,引导金融机构加大对小微企业和个体工商户的信贷支持力度。,市场机制
23,建立国家基本公共服务标准体系，明确服务项目、支出责任和保障标准。,制度建设
24,对创业担保贷款借款人给予财政贴息，个人最高贷款额度提高至30万元。,财政激励
25,强化反垄断执法，依法查处平台企业滥用市场支配地位等违法行为。,市场监管
26,推动公共数据有序开放共享，促进数据要素市场化配置。,信息公开
27,实施阶梯式水价制度，促进居民节约用水。,市场机制
28,对虚开增值税专用发票、骗取出口退税的行为从严从重处罚。,惩罚措施
29,中央预算内投资安排500亿元支持保障性租赁住房建设。,财政激励
30,在全国范围内推广"证照分离"改革，进一步优化营商环境。,简政放权
31,加强对校外培训机构的资金监管，防范预收费风险。,市场监管
32,建立健全生态环境损害赔偿制度，落实企业生态修复责任。,制度建设
33,对带动就业效果好的创业项目，优先推荐进入创业孵化基地。,试点推广
34,实施更加积极的财政政策，适度扩大财政支出规模。,财政激励
35,严格落实耕地保护制度，坚决遏制耕地"非农化"、基本农田"非粮化"。,惩罚措施
36,推进医保支付方式改革，全面实行按疾病诊断相关分组（DRG）付费。,制度建设
37,支持各地开展社区居家养老服务改革试点，总结推广成功经验。,试点推广
38,完善政府信息公开制度，提高政策透明度和公众参与度。,信息公开
39,对符合条件的高新技术企业减按15%的税率征收企业所得税。,财政激励
40,建立跨部门联合执法机制，严厉打击食品药品安全违法犯罪行为。,市场监管
